"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2019-12-19 14:29:49","9.408","-73.597","0","1.8","MLr_4","29","1.0","75","1.626","1.626","4.10","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-05-28 20:08:06","9.364","-73.504","14.57","1.3","MLr_4","13","0.3","139","1.061","1.061","4.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-06-18 09:28:16","9.667","-73.456","12.16","1.6","MLr_4","18","0.8","112","1.909","1.909","2.80","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-07-01 20:32:06","9.371","-73.505","0","1.4","MLr_4","16","0.4","138","0.990","0.990","3.00","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-08-10 04:54:49","9.481","-73.543","14.29","1.6","MLr_4","14","0.9","123","2.546","2.546","3.60","Chiriguaná - Cesar, Colombia","","","","manual"
"2020-11-06 17:29:27","9.532","-73.439","-0.08","1.5","MLr_4","9","0.5","149","1.273","1.273","3.50","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-11-25 00:00:05","9.547","-73.488","-0.11","1.4","MLr_4","13","0.4","124","0.566","0.566","1.50","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-11-25 03:20:17","9.541","-73.488","0.89","1.0","MLr_4","10","0.2","137","1.344","1.344","5.10","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-12-08 17:34:30","9.737","-73.323","7.48","1.8","MLr_4","16","1.0","101","2.546","2.546","3.40","Becerrill - Cesar, Colombia","","","","manual"
"2020-12-10 17:26:13","9.59","-73.37","0","2.2","MLr_4","30","1.2","70","1.838","1.838","3.70","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2020-12-11 17:25:34","9.739","-73.428","-0.03","1.7","MLr_4","12","1.0","105","1.980","1.980","3.70","Becerrill - Cesar, Colombia","","","","manual"
"2020-12-16 04:58:06","9.722","-73.483","9.2","1.0","MLr_4","12","0.5","96","1.273","1.273","2.40","Becerrill - Cesar, Colombia","","","","manual"
"2020-12-31 09:24:15","9.666","-73.499","12.35","1.1","MLr_4","14","0.3","148","0.778","0.778","2.10","El Paso - Cesar, Colombia","","","","manual"
"2021-03-10 06:28:07","9.77","-73.352","0.53","1.5","MLr_4","19","0.6","105","1.061","1.061","2.20","Becerrill - Cesar, Colombia","","","","manual"
"2021-06-07 17:26:41","9.732","-73.464","-0.02","1.4","MLr_4","15","0.6","121","1.061","1.061","2.70","Becerrill - Cesar, Colombia","","","","manual"
"2021-07-30 05:51:07","9.686","-73.415","15.86","2.2","MLr_4","41","0.8","92","1.131","1.131","1.40","Becerrill - Cesar, Colombia","","","","manual"
"2021-08-20 06:01:13","9.618","-73.347","8.54","1.5","MLr_4","16","0.5","146","1.344","1.344","2.90","Becerrill - Cesar, Colombia","","","","manual"
"2021-08-30 17:34:49","9.762","-73.522","0","2.0","MLr_4","16","1.1","146","1.768","1.768","5.80","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-09-02 17:37:34","9.782","-73.505","3","2.3","MLr_4","15","1.0","135","3.041","3.041","6.00","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-09-03 17:22:29","9.551","-73.499","-0.01","2.3","MLr_4","13","1.1","150","3.323","3.323","9.00","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-09-05 17:24:37","9.544","-73.494","-0.01","2.1","MLr_4","13","0.9","126","3.323","3.323","9.00","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-09-06 17:30:47","9.77","-73.49","0","2.1","MLr_4","18","0.9","136","1.768","1.768","6.10","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-10-08 00:26:43","9.544","-73.358","9.5","2.2","MLr_4","14","0.5","131","1.556","1.556","5.40","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-10-09 17:43:32","9.607","-73.517","0","2.0","MLr_4","17","1.6","125","1.909","1.909","5.80","El Paso - Cesar, Colombia","","","","manual"
"2021-10-13 17:26:26","9.784","-73.54","0","2.2","MLr_4","15","0.8","114","1.980","1.980","8.60","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-10-18 17:30:42","9.816","-73.543","0","2.3","MLr_4","25","1.4","122","1.980","1.980","6.30","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2021-10-22 17:29:18","9.588","-73.319","0","2.0","MLr_4","8","0.6","263","5.657","5.657","9.40","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2021-10-24 17:33:03","9.861","-73.619","0","2.1","MLr_4","8","0.4","119","2.546","2.546","7.80","Valledupar - Cesar, Colombia","","","","manual"
"2021-10-29 17:31:19","9.765","-73.452","0","2.3","MLr_4","21","1.9","64","2.192","2.192","5.90","Becerrill - Cesar, Colombia","","","","manual"
"2021-11-03 09:32:23","9.741","-73.317","0","1.1","MLr_4","11","1.7","101","3.041","3.041","5.00","Becerrill - Cesar, Colombia","","","","manual"
"2021-11-05 17:31:22","9.872","-73.591","0","2.2","MLr_4","19","0.7","120","1.344","1.344","4.30","Valledupar - Cesar, Colombia","","","","manual"
"2021-11-24 17:29:20","9.598","-73.485","-0.4","2.2","MLr_4","15","1.2","104","2.616","2.616","5.40","El Paso - Cesar, Colombia","","","","manual"
"2022-01-08 08:46:47","9.487","-73.586","2.02","1.6","MLr_4","13","0.4","87","0.990","0.990","2.10","Chiriguaná - Cesar, Colombia","","","","manual"
"2022-02-10 05:25:19","9.876","-73.556","7.03","2.0","MLr_4","10","0.4","143","1.414","1.414","5.60","La Paz - Cesar, Colombia","","","","manual"
"2022-06-04 09:26:36","9.789","-73.362","2.38","1.7","MLr_4","23","0.6","143","1.131","1.131","2.70","Agustín Codazzi - Cesar, Colombia","","","","manual"
"2022-06-09 06:49:31","9.783","-73.363","0.16","1.0","MLr_4","16","0.4","157","1.131","1.131","2.40","Becerrill - Cesar, Colombia","","","","manual"
"2022-10-12 11:21:19","9.575","-73.489","9.76","1.6","MLr_4","17","0.5","105","1.485","1.485","1.10","La Jagua de Ibirico - Cesar, Colombia","","","","manual"
"2022-11-07 17:26:29","9.6","-73.444","7.22","2.0","M","5","0.8","167","3.420","4.183","4.86","La Jagua de Ibirico - Cesar, Colombia","","","","automatic"
